doc_id,text,p_green,u,llm_green_suggested,llm_confidence,llm_rationale,is_green_human,notes
34994,"1. A processor comprising: an input/output (I/O) hub including a first logic to generate a second interrupt signal responsive to detection of a first interrupt signal received from an input/output (I/O) device coupled to the processor, the first interrupt signal to indicate that read data associated with a read request is available; at least one core to:",0.4999401196100621,0.9998802392201241,,,,,
18495,"1. Optical fiber bundles for an optical irradiator, the optical irradiator comprising light emitting devices configured for emission of light, the optical fiber bundles respectively configured with an incidence end, for propagating light incoming from the light emitting devices to the incidence end corresponding thereto, the output optical fiber bundle having and end portion at an exit end providing an output section of the optical irradiator configured to collect light from the light emitting devices as propagated by the fiber bundles externally output said collected light; the optical fiber bundles respectively comprising; a bundle of optical fibers, the optical fibers having distal ends thereof integrated together as an integrated portion, the optical fibers each comprising a core made of glass, and a coating configured to clad the core, the coating is made of resin having a smaller refractive index than the core, the integrated portion formed by a fusion integration of distal ends of terminal-stripped cores exposed by removing the coatings of the optical fibers; and a glass pipe filled up with the terminal-stripped cores of the optical fibers, wherein the terminal-stripped cores of the optical fibers and the glass pipe are completely integrated in the integrated portion, wherein the integrated portion being formed in a partial conical shape having a decreasing outside diameter as the integrated portion extends toward a front end thereof so as to make smaller the angle of incidence than the incidence angle to the front end face of the integrated portion by the internal reflection of a side surface of the integrated portion wherein the optical fiber bundles are respectively configured with an incidence end disposed adjacent to one of the light emitting devices, and wherein all of the optical fibers consisted in optical fiber bundles are bundled at an exit end as one output optical fiber bundle.",0.4997923486924224,0.9995846973848448,,,,,
7267,"1. A portable shelter which is erectable on a support surface for defining an interior for temporarily sheltering a human, the portable shelter comprising: a front wall having when erected an upper end, a lower end, and a height extending between the upper and lower ends of the front wall, and a left end, a right end, and a width extending between the left and right ends of the front wall, the front wall including folds extending along generally parallel fold lines which extend along the height of the front wall and are spaced from each other between the left and right ends of the front wall, the folds including outboard folds and inboard folds, the outboard folds of the front wall being disposed outward of the inboard folds of the front wall in the erected shelter; a rear wall having when erected an upper end, a lower end, and a height extending between the upper and lower ends of the rear wall, and a left end, a right end, and a width extending between the left and right ends of the rear wall, the rear wall including folds extending along generally parallel fold lines which extend along the height of the rear wall and are spaced from each other between the left and right ends of the rear wall, the folds including outboard folds and inboard folds, the outboard folds of the rear wall being disposed outward of the inboard folds of the rear wall in the erected shelter; and a top wall having when erected a front end, a rear end, and a length extending between the front and rear ends of the top wall, and a left end, a right end, and a width extending between the left and right ends of the top wall, the front end of the top wall being connected to the upper end of the front wall and the rear end of the top wall being connected to the upper end of the rear wall so the length of the top wall extends between the front and rear walls, the top wall including folds extending along generally parallel fold lines which extend along the length of the top wall and are spaced from each other between the left and right ends of the top wall, the folds including outboard folds and inboard folds, the outboard folds of the top wall being disposed outward of the inboard folds of the top wall in the erected shelter; wherein the front wall includes a generally planar portion having an opening sized for a person to enter the interior of the shelter through the opening and at least one of each of the inboard and outboard folds of the front wall is positioned to the left of the opening and at least one of each of the inboard and outboard folds of the front wall is positioned to the right of the opening when the portable shelter is erected; and wherein the generally planar portion is oriented in a front plane in the erected shelter and fold panels extend between consecutive ones of said at least one of each of the inboard and outboard folds of the front wall, said fold panels being oriented in respective planes disposed at angles to the front plane.",0.5002385689727944,0.9995228620544112,,,,,
48496,"1. A radio communications system comprising: a first radio base station to convert multimedia broadcast multicast service (MBMS) data to unicast data and transmit the unicast data to an intermediate station; the intermediate station to receive the unicast data from the first radio base station and convert the unicast data to the MBMS data and broadcast the converted MBMS data to a mobile station; a second radio base station; and the mobile station to receive the same MBMS data from the first radio base station via the intermediate station and the second radio base station in the same period; wherein the second radio base station comprises a transmitter to broadcast the MBMS data that is the same as the MBMS data converted in advance by the intermediate station, at the same time when the intermediate station broadcasting the converted MBMS data to the mobile station by using same radio resource that the intermediate station uses in the broadcasting of the converted MBMS data.",0.5003000834720146,0.9993998330559708,,,,,
40418,"1. A method for monitoring User Equipment (UE) reachability in a wireless communication system, comprising: receiving, by a Mobility Management Entity (MME), a monitoring request message for UE reachability including a maximum response time from a Home Subscriber Server (HSS); detecting, by the MME, the UE reachability when the UE will become reachable for paging in case that extended Discontinuous Reception (DRX) is applied to the UE; and sending, by the MME, a UE reachability notification to a Service Capability Exposure Function (SCEF) before a next paging occasion of the UE, wherein the maximum response time indicates a time during which the UE maintains a reachable state so that downlink data is reliably delivered to the UE, and wherein an occasion when the UE reachability notification is transmitted is determined by taking into consideration the maximum response time.",0.4996376743111705,0.999275348622341,,,,,
15994,"1. A method of making a ligand functionalized substrate, the method comprises the steps of: 1) providing a base substrate; 2) coating the substrate with a solution comprising (a) at least one grafting monomer having an acryloyl group and a photoinitiator group; (b) one or more ligand monomers of the formula: wherein R 1 is H or C 1 -C 4 alkyl, R 2 is a divalent alkylene optionally containing an ester, amide, urethane or urea linking group; each R 3 is independently H or C 1 -C 4 alkyl, R 4 is H, C 1 -C 4 alkyl or —N(R 3 ) 2 ; and X 1 is —O— or —NR 3 —, (c) optionally one or more monomers having at least one acryloyl group and at least one additional ethylenically unsaturated, free-radically polymerizable group; and (d) optionally one or more hydrophilic monomers; 3) exposing the coated base substrate to ionizing radiation to form a first functionalized substrate comprising grafted photoinitiator groups attached to the surface of the base substrate and unreacted (b), (c) and (d) monomers having ethylenically unsaturated, free-radically polymerizable groups, and 4) exposing the base substrate comprising grafted photoinitiator groups to UV radiation to polymerize the remaining ethylenically unsaturated, free-radically polymerizable groups of the (b), (c) and (d) monomers.",0.5004632485203252,0.9990735029593496,,,,,
18646,"1. A method for recovery of a server, the method comprising: sending transaction requests from clients to the server through a network; receiving the transaction requests at the server; logging a start transaction in an intention log at the start of each transaction request; logging a complete transaction in the intention log at completion of each transaction request; taking a checkpoint at predetermined times, the checkpoint defining a recovery state for the server; asynchronously mirroring the checkpoint to a recovery server; logging a checkpoint taken in the intention log at the start of each taking a checkpoint; logging a checkpoint mirroring complete at completion of the mirroring to the recovery server; and maintaining the intention log at the recovery server by asynchronously mirroring start transactions from the server to the recovery server and synchronously mirroring complete transactions from the server to the recovery server.",0.5005077629939074,0.9989844740121852,,,,,
5937,"1. A method for controlling and monitoring an electromagnet ( 8 ) that incorporates a solenoid through which a current can be passed in a first direction and in an opposite second direction such that the electromagnet selectively positions an element between two predetermined positions, the method comprising: providing an H bridge that controls the solenoid, said H bridge having a first transistor connecting a first terminal of the solenoid to a voltage source ( at the microcontroller ( verifying whether the element controlled by the electromagnet (",0.4994166730564934,0.9988333461129868,,,,,
43184,"1. A system comprising: a plurality of sensors; a first logic unit coupled to an output of at least one sensor of the plurality of sensors, the first logic unit estimating user dynamics in response to an output signal from the at least one sensor; second logic unit coupled to the first logic unit, the second logic unit generating a sampling rate value of a first MEMS sensor in response to an output signal from the first logic unit, and wherein the first MEMS sensor comprises a selectable sampling rate and wherein the selectable sampling rate is selected in response to the generated sampling rate value.",0.5006844193954463,0.9986311612091074,,,,,
42162,"1. A method comprising: operating an aerial vehicle in a hover-flight orientation, wherein the aerial vehicle is connected to a tether that defines a tether sphere having a radius based on a length of the tether, wherein the tether is connected to a ground station; while the aerial vehicle is in the hover-flight orientation, positioning the aerial vehicle at a first location that is substantially on the tether sphere, wherein the first location is substantially downwind of the ground station; transitioning the aerial vehicle from the hover-flight orientation to a forward-flight orientation, such that the aerial vehicle moves from the tether sphere, wherein the aerial vehicle has attached flow, and wherein a tension of the tether is reduced; and operating the aerial vehicle in the forward-flight orientation to ascend at an angle of ascent to a second location that is substantially on the tether sphere, wherein the second location is substantially downwind of the ground station.",0.5008431517929316,0.9983136964141368,,,,,
